Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2024,12,1,     0.2,     0.2,     0.2,     0.2,    28.4,    33.6,    26.1,     8.2,    33.3
Changi,2024,12,2,     0.4,     0.2,     0.2,     0.2,    27.6,    31.8,    25.9,     7.9,    29.6
Changi,2024,12,3,    41.6,    24.0,    29.6,    32.2,    27.2,    31.9,    23.8,     7.7,    33.3
Changi,2024,12,4,     8.8,     8.2,     8.8,     8.8,    27.9,    31.7,    25.3,     5.6,    35.2
Changi,2024,12,5,     0.0,     0.0,     0.0,     0.0,    29.1,    33.3,    25.5,     7.7,    38.9
Changi,2024,12,6,     0.0,     0.0,     0.0,     0.0,    29.3,    34.8,    26.2,     9.9,    35.2
Changi,2024,12,7,     2.4,     2.4,     2.4,     2.4,    29.5,    35.6,    26.0,    10.3,    37.0
Changi,2024,12,8,     4.6,     4.0,     4.6,     4.6,    28.1,    33.2,    25.1,    12.0,    46.3
Changi,2024,12,9,     1.8,     0.6,     1.0,     1.4,    26.9,    31.4,    24.8,    10.3,    38.9
Changi,2024,12,10,     0.0,     0.0,     0.0,     0.0,    27.4,    30.6,    25.5,     9.6,    40.7
Changi,2024,12,11,    76.8,    54.4,    74.8,    76.0,    28.1,    33.7,    24.6,     7.4,    57.4
Changi,2024,12,12,     0.4,     0.4,     0.4,     0.4,    27.9,    30.9,    25.8,     5.8,    35.2
Changi,2024,12,13,    11.0,     5.8,     7.8,    10.8,    27.2,    29.1,    24.5,     5.8,    37.0
Changi,2024,12,14,     0.4,     0.4,     0.4,     0.4,    28.6,    34.1,    25.6,     8.8,    42.6
Changi,2024,12,15,     3.8,     3.8,     3.8,     3.8,    28.3,    33.2,    26.4,     8.7,    33.3
Changi,2024,12,16,     7.2,     6.4,     6.6,     6.8,    27.5,    32.9,    24.6,     9.6,    37.0
Changi,2024,12,17,     1.2,     0.6,     0.8,     0.8,    27.6,    32.8,    25.5,    12.0,    46.3
Changi,2024,12,18,     1.2,     0.6,     0.8,     1.0,    26.3,    27.9,    25.6,    12.8,    42.6
Changi,2024,12,19,     0.2,     0.2,     0.2,     0.2,    27.0,    29.2,    25.5,    12.1,    40.7
Changi,2024,12,20,     0.2,     0.2,     0.2,     0.2,    27.0,    30.0,    25.2,    15.9,    50.0
Changi,2024,12,21,     9.0,     9.0,     9.0,     9.0,    27.2,    31.0,    25.3,    14.0,    42.6
Changi,2024,12,22,     0.0,     0.0,     0.0,     0.0,    27.7,    31.1,    26.0,    16.2,    48.2
Changi,2024,12,23,     7.8,     5.0,     5.0,     5.0,    27.0,    30.9,    24.7,    12.3,    38.9
Changi,2024,12,24,     6.2,     3.0,     3.0,     3.0,    26.5,    30.1,    24.6,    11.7,    38.9
Changi,2024,12,25,     0.0,     0.0,     0.0,     0.0,    27.3,    31.4,    25.3,    12.6,    35.2
Changi,2024,12,26,     0.0,     0.0,     0.0,     0.0,    27.3,    30.6,    24.9,     9.9,    37.0
Changi,2024,12,27,     0.0,     0.0,     0.0,     0.0,    28.0,    32.0,    26.0,    12.0,    35.2
Changi,2024,12,28,     0.0,     0.0,     0.0,     0.0,    28.1,    31.5,    25.8,    16.0,    44.4
Changi,2024,12,29,     0.4,     0.4,     0.4,     0.4,    28.2,    32.1,    25.9,    13.9,    44.4
Changi,2024,12,30,    42.6,    21.2,    34.8,    42.0,    26.0,    30.2,    22.8,    14.1,    46.3
Changi,2024,12,31,     6.2,     3.0,     4.8,     5.8,    27.2,    31.4,    25.3,    13.3,    42.6
